item                 ,context                                                       ,tr
title.freq           ,main heading                                                  ,Sıklık
title.freq.weighted  ,main heading                                                  ,Ağırlıklandırılmış Sıklık
title.ctable         ,main heading                                                  ,Çapraz Tablo
title.ctable.weighted,main heading                                                  ,Ağırlıklandırılmış Çapraz Tablo
title.ctable.row     ,main heading                                                  ,Satır Oranları
title.ctable.col     ,main heading                                                  ,Sütun Oranları
title.ctable.tot     ,main heading                                                  ,Toplam Oranlar
title.descr          ,main heading                                                  ,Tanımlayıcı İstatistikler
title.descr.weighted ,main heading                                                  ,Ağırlıklandırılmış Tanımlayıcı İstatistikler
title.dfSummary      ,main heading                                                  ,Veri Çerçevesi Özeti
n                    ,heading label                                                 ,N
dimensions           ,heading label (dfSummary)                                     ,Boyutlar
duplicates           ,heading label (dfSummary)                                     ,Tekrar Edenler
data.frame           ,heading label (all functions)                                 ,Veri Çerçevesi
label                ,heading label (all functions) & column name (dfSummary)       ,Etiket
variable             ,heading label (all functions) & column name (dfSummary)       ,Değişken
group                ,heading label (all functions when used with byst() / by()     ,Grup
by                   ,heading label (descr when used with byst() / by()             ,göre
weights              ,heading label (descr & freq)                                  ,Ağırlıklar
type                 ,heading label (freq)                                          ,Tür
logical              ,heading value for type (freq)                                 ,Mantıksal
character            ,heading value for type (freq)                                 ,Karakter
numeric              ,heading value for type (freq)                                 ,Sayısal
factor               ,heading value for type (freq)                                 ,Faktör
factor.ordered       ,heading value for type (freq)                                 ,Sıralı Faktör
date                 ,heading value for type (freq)                                 ,Tarih
datetime             ,heading value for type (freq)                                 ,Tarihzaman
freq                 ,column name (freq)                                            ,Sıklık
pct.valid            ,column name (freq)                                            ,Geçerli %
pct.valid.cum        ,column name (freq)                                            ,Küm. Geçerli %
pct.total            ,column name (freq)                                            ,Toplam %
pct.total.cum        ,column name (freq)                                            ,Küm. Toplam %
pct.cum              ,column name (freq)                                            ,Küm. %
valid                ,column name (freq & dfSummary) & column content (dfSummary)   ,Geçerli
invalid              ,column content (dfSummary for emails)                         ,Geçersiz
total                ,column grouping in html (freq)                                ,Toplam
mean                 ,row name (descr)                                              ,Ortalama
sd.long              ,row name (descr)                                              ,Std.Sap
sd                   ,cell content (dfSummary)                                      ,ss
min                  ,row name (descr)                                              ,Min
q1                   ,row name (descr) - 1st quartile                               ,Q1
med                  ,row name (descr)                                              ,Medyan
q3                   ,row name (descr) - 3rd quartile                               ,Q3
max                  ,row name (descr)                                              ,Mak
mad                  ,row name (descr) - Median Absolute Deviation                  ,OMS
iqr                  ,row name (descr) - Inter-Quartile Range                       ,ÇA
cv                   ,row name (descr) - Coefficient of Variation                   ,CV
skewness             ,row name (descr)                                              ,Çarpıklık
se.skewness          ,row name (descr) - Std. Error for Skewness                    ,Çarpıklık.SH
kurtosis             ,row name (descr)                                              ,Basıklık
n.valid              ,row name (descr) - Count of non-missing values                ,Geçerli.N
pct.valid            ,row name (descr) - % of non-missing values                    ,Geçerli.Yzd
no                   ,column name (dfSummary) - position of column in the d.f.      ,No
stats.values         ,column name (dfSummary)                                       ,İstat / Değerler
freqs.pct.valid      ,column name (dfSummary)                                       ,Sıklık (Geçerli %)
graph                ,column name (dfSummary)                                       ,Grafik
missing              ,column name (dfSummary)                                       ,Eksik
distinct.value       ,cell content (dfSummary) - singular form                      ,Farklı değer
distinct.values      ,cell content (dfSummary) - plural form                        ,Farklı değerler
all.nas              ,cell content (dfSummary) - column has only NA's               ,Tüm NA'lar
all.empty.str        ,cell content (dfSummary) - column has only empty str's        ,Tüm boş diziler
all.empty.str.nas    ,cell content (dfSummary) - col. has only NA's and empty str's ,Tüm boş diziler / NA'lar
int.sequence         ,cell content (dfSummary)                                      ,Tamsayı dizisi
rounded              ,cell content (dfSummary) - note appearing in Stats/Values     ,yuvarlanmış
others               ,cell content (dfSummary) - nbr of values not displayed        ,diğerleri
codes                ,cell content (dfSummary) - When UPC codes are detected        ,kodlar
mode                 ,cell content (dfSummary) - mode = most frequent value         ,mod
med.short            ,cell content (dfSummary) - median (shortened)                 ,med
start                ,cell content (dfSummary) - earliest date for date-type cols.  ,Başlangıç
end                  ,cell content (dfSummary) - latest date for data-type cols.    ,Bitiş
generated.by         ,footnote content                                              ,Generated by
version              ,footnote content                                              ,versiyon
date.fmt             ,footnote - date format (see ?strptime)                        ,%Y-%m-%d
